feature,importance
cash,0.048219148
entry,0.033888124
oil,0.02557282
encouraged,0.025243899
administrative,0.023259021
free,0.022972578
facilitating,0.01940484
property,0.019340517
menu,0.01477046
clerk,0.01371909
income,0.011888518
data,0.011875893
growing,0.010603176
american,0.008560284
medium,0.008534426
passionate,0.00816329
geographical,0.007917453
science,0.0077216206
leveraging,0.0073871976
sigma,0.007346378
growth,0.00734286
earn,0.007337449
diploma,0.007077979
web,0.006979041
partnered,0.006914156
mail,0.0068280143
website,0.0065991078
accountability,0.00610095
attributed,0.0060826917
complete,0.0056130593
national,0.0055095055
aviation,0.005469846
beneficial,0.0053505134
multi,0.005345743
ensure,0.00517659
secure,0.005119901
world,0.0051181046
highest,0.005108939
link,0.005006197
contracting,0.00493314
university,0.0048647257
price,0.0047377027
candidate,0.004729641
founded,0.0047242604
computer,0.0046494044
town,0.0046094256
creative,0.0045820726
startup,0.004464594
team,0.004393419
discussed,0.004322206
clear,0.004218334
love,0.004193275
email,0.0041532344
help,0.0040996587
user,0.0040453807
non,0.0040278416
cook,0.0039556124
wage,0.003947761
state,0.0038920545
attention,0.0038078104
offshore,0.003753363
permanent,0.0037161866
phone,0.003700773
client,0.0036923257
english,0.0036804834
assistant,0.0035901591
technology,0.003360683
benefit,0.003327231
engineering,0.0032512373
delivering,0.00324669
agent,0.0032197316
responsibility,0.003136401
large,0.0031339747
right,0.0030580875
understanding,0.0030372518
petroleum,0.0030199985
create,0.003003475
process,0.002921824
thank,0.0028717848
similar,0.002865959
want,0.0027858468
exciting,0.0027652653
gas,0.0027542394
development,0.0027146288
school,0.002705549
restaurant,0.0026633556
seeking,0.002612326
agency,0.00257807
developer,0.002575165
thing,0.0025588344
effort,0.0025560409
insurance,0.0025051818
relationship,0.0024862182
employer,0.002464248
duty,0.0024536415
fun,0.002386644
wellness,0.002377374
apply,0.0023574128
experience,0.0023127655
unmatched,0.0022968864
preferred,0.0022953206
excellent,0.002286548
discount,0.0022563976
recruitment,0.0021916085
specialty,0.0021908958
send,0.0021319955
performs,0.0020907838
receptionist,0.002088049
quality,0.0020861756
individual,0.0020657144
previous,0.002055101
know,0.0020478186
retirement,0.0020434558
flexible,0.002043386
operation,0.002042334
buy,0.0020307808
brand,0.0020232063
health,0.0019648592
time,0.0019516316
control,0.0019503636
enterprise,0.0019470386
hotel,0.0019360728
role,0.0019060951
contribution,0.0018928954
willingness,0.0018919432
search,0.0018652518
think,0.0018288239
structure,0.0017883974
answer,0.0017754323
open,0.001766513
join,0.0017629432
specific,0.0017538867
initiate,0.0017426484
pay,0.0017413014
guide,0.001728402
accounting,0.0017251367
exceptional,0.0017099835
owner,0.0017052962
based,0.0017019178
resume,0.001701788
represents,0.001685922
digital,0.0016813612
ensures,0.0016732258
software,0.0016626214
clerical,0.0016359336
hard,0.0016187686
designed,0.0016156853
pride,0.0016011392
cultural,0.0015998213
word,0.0015609299
great,0.001557911
comfortable,0.0015436227
vacation,0.0015401464
new,0.0015296539
ago,0.0015287644
diligence,0.0015233438
professional,0.001513324
strong,0.0015129301
description,0.0015054177
contact,0.0014930473
best,0.0014863551
general,0.0014716253
considered,0.0014676844
beverage,0.001452264
comprehensive,0.0014454463
excel,0.0014209002
driver,0.0014112402
manager,0.00141108
efficient,0.00140417
desirable,0.0014017944
written,0.0013922985
aptitude,0.0013874685
place,0.0013845887
meet,0.0013617727
private,0.0013610047
currently,0.0013511247
includes,0.0013473483
accurately,0.0013435755
sale,0.0013325232
retail,0.0013311091
balance,0.0013307738
hospitality,0.0013193677
highly,0.0013157472
requirement,0.0012914313
country,0.001291357
enjoy,0.0012855992
hiring,0.00128427
relocation,0.0012837619
set,0.0012726743
voice,0.0012661933
sense,0.0012648953
work,0.0012496114
limited,0.0012489799
develops,0.0012346713
solve,0.0012321067
company,0.0012300992
stability,0.0012300812
motivated,0.0012252205
immediate,0.0012242686
object,0.0012238759
series,0.0012221864
type,0.0012097236
visit,0.0012048339
amp,0.0012034302
exceed,0.0011867437
niche,0.0011831762
maximizing,0.001182024
beginning,0.0011772125
establish,0.001167822
half,0.0011664662
calling,0.0011655919
research,0.0011596397
accountant,0.0011590159
perfect,0.0011518694
community,0.0011446677
applicant,0.0011440126
communication,0.0011419716
life,0.0010898263
field,0.0010897066
annual,0.0010853901
earnings,0.0010819924
aker,0.0010797146
offering,0.001078011
java,0.0010762969
include,0.0010710427
focused,0.0010693305
commission,0.0010685202
end,0.0010680032
like,0.0010677229
position,0.0010613332
rep,0.0010520829
located,0.001046945
living,0.00104401
superior,0.001033743
job,0.0010331561
hr,0.0010285586
erp,0.0010279965
manufacturing,0.0010175788
looking,0.0010152762
forward,0.0010087634
let,0.0010032795
nurse,0.0010009096
qualified,0.0009975916
future,0.0009905765
external,0.0009851508
uk,0.0009847851
allows,0.0009835792
money,0.0009783405
microsoft,0.000978221
entrepreneurial,0.0009760114
ability,0.0009759854
opportunity,0.0009725831
understand,0.0009708064
month,0.0009616247
continuously,0.0009595782
dental,0.00095722405
tour,0.00095185125
additional,0.00095004967
successful,0.0009490724
profit,0.0009459638
compliance,0.00094494055
talented,0.00094476907
leader,0.00094457663
service,0.00093967415
telecommunication,0.0009355321
experienced,0.000930411
suite,0.0009282118
learn,0.0009175236
orientation,0.00091190194
challenging,0.00091052783
custom,0.0009054376
mind,0.0009040917
art,0.0008854848
care,0.0008849958
program,0.00087667315
personality,0.0008725988
assist,0.0008547419
duration,0.00085379597
start,0.00085352245
base,0.0008487037
run,0.00084835064
schedule,0.00084014627
powerpoint,0.0008393918
training,0.00083464984
qualification,0.00082867924
legal,0.00081404386
corrective,0.0008138432
proven,0.0008123933
equivalent,0.00080957223
chef,0.0008053094
option,0.0007986409
energetic,0.000797569
need,0.0007958685
marketing,0.00079287356
outlet,0.0007850195
consultant,0.0007847502
term,0.0007802095
oriented,0.0007790865
skill,0.0007764203
tech,0.0007761519
url,0.0007737111
communicate,0.00076721195
frame,0.00076442346
volume,0.00075947103
order,0.00075502915
execute,0.00075149175
high,0.000750888
detailed,0.0007484032
modern,0.0007482575
location,0.00074582396
test,0.0007432653
line,0.0007415243
environmental,0.0007406803
effectiveness,0.0007367509
willing,0.00073466735
serve,0.0007298075
corporate,0.00072634546
minimum,0.00071947806
friday,0.0007159505
infrastructure,0.0007117406
office,0.00071072625
operate,0.0007085061
invoice,0.00070456945
responsible,0.00069998915
bring,0.00069766375
learning,0.00069654005
daily,0.0006963141
contract,0.0006952107
thousand,0.00069173425
goal,0.0006884619
working,0.0006836485
report,0.00067467586
referral,0.00065390585
needed,0.0006497793
effectively,0.00064970495
extremely,0.0006392663
customer,0.0006361823
filing,0.00062935264
resource,0.00062282814
input,0.00062081945
improve,0.0006176481
coordinate,0.0006163167
door,0.00061439874
language,0.0006126527
staffing,0.0006077533
related,0.00060472277
person,0.000602567
various,0.0005951864
bar,0.000594302
involved,0.0005919511
market,0.00059008365
mobile,0.0005834527
equipment,0.0005790828
attribute,0.00057843566
support,0.0005720191
worked,0.0005694289
product,0.0005688519
potential,0.0005668215
representative,0.00056156196
area,0.0005607574
simple,0.0005605961
year,0.0005547325
direction,0.0005500715
fast,0.00054900144
environment,0.0005466877
activity,0.0005443291
video,0.0005387797
resolve,0.000533583
offer,0.0005305794
disability,0.0005295759
procedure,0.0005286016
accordance,0.0005252824
reliable,0.0005239494
promise,0.00052209425
chance,0.0005154865
independently,0.0005122174
cloud,0.0005112017
region,0.000510714
task,0.00050023384
internal,0.00049944676
technical,0.0004953803
