company,official_domain,career_domain,country
Google,google.com,careers.google.com,USA
Microsoft,microsoft.com,careers.microsoft.com,USA
Amazon,amazon.jobs,amazon.jobs,USA
Apple,apple.com,jobs.apple.com,USA
Meta,meta.com,metacareers.com,USA
Netflix,netflix.com,jobs.netflix.com,USA
Adobe,adobe.com,careers.adobe.com,USA
IBM,ibm.com,careers.ibm.com,USA
Intel,intel.com,jobs.intel.com,USA
Oracle,oracle.com,careers.oracle.com,USA
Cisco,cisco.com,jobs.cisco.com,USA
Salesforce,salesforce.com,careers.salesforce.com,USA
Zoho,zoho.com,careers.zohocorp.com,India
Freshworks,freshworks.com,careers.freshworks.com,India
TCS,tcs.com,tcs.com/careers,India
Infosys,infosys.com,careers.infosys.com,India
Wipro,wipro.com,careers.wipro.com,India
HCL,hcltech.com,careers.hcltech.com,India
Tech Mahindra,techmahindra.com,careers.techmahindra.com,India
Accenture,accenture.com,careers.accenture.com,Global
Capgemini,capgemini.com,careers.capgemini.com,Global
Deloitte,deloitte.com,careers.deloitte.com,Global
EY,ey.com,careers.ey.com,Global
PwC,pwc.com,careers.pwc.com,Global
KPMG,kpmg.com,careers.kpmg.com,Global
